ID,Key_Size,Protocol_Type,Key_Distribution,Enc_Latency,Dec_Latency,Throughput,Total_Latency,Packet_Loss,Bandwidth_Usage,RTT,Enc_Strength,Attack,Vulnerability,Attack_Success,IDS_Accuracy,Data_Volume,Data_Type_Variety,Data_Velocity,Complexity,Real_Time_Proc,CPU_Usage,Memory_Usage,Energy_Consumption,Optimization,Performance_Target,Latency_Throughput_Ratio,Security_Efficiency_Score,Key_Size_Redundant,Quantum_Entropy_Deviation,Photon_Count_Variability,Environmental_Decoherence_Index,Spectral_Noise_Floor,Hardware_Calibration_Residual,Resource_Criticality_Index,Enc_Latency_Phase_Modulation,Throughput_Log_Scalability,Attack_Success_Exponential_Risk,Data_Volume_Quadratic_Load,Bandwidth_Saturation_Angle,Classification_Uncertainty_Score,Noise_Category,Temporal_Drift_Coefficient,Latency_Throughput_Efficiency,Resource_Load_Composite,Security_Exposure_Index,Key_Data_Complexity_Index
1840,128,E91,Hybrid QKD,15.50099745,98.46150239,277.0594169,40.81899914,4.435718394,74.19378619,142.1972694,Low,Man-in-the-Middle,Low,25.32747817,90.65499076,282.5164331,Audio,46.14608114,Structured,0,65.02825056,79.46175209,3.051742165,,Moderate Performance,0.08868755,1420.206933,512.1580823,0.776330392,-0.091879696,2.824964744,-0.585980886,-1.105385199,-285.5736816,1.024129427,6.047593466,1.406790795,543.9466725,1.637678608,0.815154714,CAT_16,0.954954955,356.4226622,159.5844865,0.432556661,343.3707977
2115,128,E91,Hybrid QKD,22.55588318,114.5906816,103.0458967,7.431070212,2.580949965,70.37941899,58.2225543,Medium,Quantum Attack,High,65.78579222,81.18338803,741.6123301,Images,9.148857609,Structured,1,100.3909777,14.18167398,4.110930663,,Moderate Performance,0.105840474,3170.820682,256.1255926,-0.439312902,0.020836368,1.106328079,-0.52877531,1.574994741,123.2416388,0.943737934,5.131147394,1.232716184,639.9977506,1.602665593,2.666719994,CAT_7,0.625625626,7315.706134,71.61188103,0.521429199,299.1649109
4437,256,SARG04,QKD,20.39029037,107.9563906,163.6892956,1.319849533,3.145148487,92.68760317,50.27795107,Low,Side Channel,Medium,29.83858929,96.30230296,733.2763383,Audio,87.39590654,Structured,0,68.44346813,31.52395751,0.220058013,Caching,Critical Performance,0.132533936,1170.629737,1024.105555,-3.260128368,0.617553446,1.438259002,0.375208428,0.247678036,-219.0589385,-0.65112935,6.598567313,1.527623893,544.2870654,1.44697073,0.0,CAT_2,0.369369369,3482.948104,81.88868968,0.569636251,46.81889318
1146,128,B92,Hybrid QKD,64.66943621,30.88866477,138.2559787,17.90320473,4.814343078,65.53020598,55.72956194,Low,Side Channel,Medium,46.83568237,97.08157276,717.8734308,Audio,20.50543808,Structured,0,123.2102507,13.42559358,1.610193278,Compression,High Performance,0.496917384,476.2819065,128.2278476,1.830907002,-0.105923397,-0.042275398,2.295674124,0.419878706,-1524.7537,0.199608505,6.702868083,1.220546184,115.2650701,1.481100972,3.852574491,CAT_49,0.76976977,12482.25009,123.6721621,0.641818744,602.3984919
2486,256,E91,Hybrid QKD,66.00916777,75.74000558,43.54945175,25.78731865,2.647066738,68.41120697,79.06140984,Medium,Man-in-the-Middle,High,86.36530516,90.2131379,23.42632603,Mixed,67.6503595,Semi-Structured,1,42.87833241,13.13124562,4.749255311,,Moderate Performance,0.050472447,2060.641116,1024.014542,1.849580296,0.046023808,-0.61759633,-0.376721774,0.942515128,-674.2603982,0.816415087,6.912120627,1.068343817,1.214808473,1.581764888,2.234139945,CAT_30,0.976976977,57128.81818,132.0676356,0.656349619,491.1457486
44,128,SARG04,QKD,129.5321999,18.31455007,883.7239527,18.92874428,0.282490911,64.50507394,74.24776059,Medium,Quantum Attack,High,8.051944157,99.11371741,792.2536714,Audio,67.6674956,Structured,1,67.03155834,47.05976724,4.684685375,Compression,Low Performance,0.164083546,1692.982412,511.9900247,-0.261178631,-0.278236922,-0.589191235,0.567120862,0.214857517,190.217314,0.70335118,5.297815846,1.360472734,882.9827835,1.556664797,3.049294659,CAT_35,0.56956957,19698.73311,101.5298979,0.148890202,450.8573381
2154,256,BB84,QKD,33.9237145,18.9075443,276.5211838,16.54083665,4.020428776,90.2304239,119.000315,Medium,Side Channel,Medium,36.83598288,89.83450206,573.6899884,Audio,67.65976135,Semi-Structured,0,46.05226094,27.88953688,0.617229255,Caching,Low Performance,0.019446142,244.3410348,255.9577487,-0.296463703,0.282577153,0.880195854,0.52350686,1.608511199,-995.9070455,-0.255799545,6.247880751,1.51973183,389.8297086,1.813773254,3.852574491,CAT_15,0.66966967,52109.44824,102.6584917,0.603996903,964.7119286
1526,128,SARG04,QKD,44.5888607,87.74914488,552.5729028,29.93983668,3.104414489,79.80830055,24.47133379,High,Side Channel,Low,47.25102377,82.49860805,247.6893104,Text,71.61152843,Semi-Structured,0,68.99776224,70.0596918,2.281353428,Parallel Processing,Moderate Performance,0.075490174,2090.457307,1023.984386,0.534310839,0.901274481,0.598235117,-1.043156318,0.431933533,1681.200946,0.642161291,6.811865957,0.983118182,911.9691555,1.44697073,3.852574491,CAT_28,0.867867868,7370.514666,152.0507946,0.525028035,113.9659609
4855,128,BB84,QKD,65.84953393,91.93180518,259.6267603,3.627538274,2.612943786,77.04932735,47.81427204,High,Side Channel,Medium,66.54657006,99.29308627,800.0532255,Text,8.678668807,Unstructured,1,99.41250591,52.50936499,3.589579551,,Low Performance,0.033960911,3748.927905,1023.919764,-0.874804611,-0.053199007,2.986890828,0.597540613,0.762003581,1401.807914,-0.996388597,4.076203603,1.297225204,15.65393421,1.644672706,2.804289043,CAT_37,0.462462462,48058.36147,46.98188416,0.192065654,385.8054469
1378,256,BB84,QKD,101.4225774,24.67349076,755.4103065,44.78611291,2.669753987,74.06188282,135.1239792,High,Man-in-the-Middle,High,59.71374313,81.61134227,395.1200534,Audio,5.404238966,Structured,1,72.21834428,16.20436523,2.238280573,Compression,Critical Performance,0.072261948,235.323731,1024.074697,-1.455824603,-0.189828913,0.121444635,-1.398442421,-0.738480292,-807.3191066,0.934158311,6.818429437,1.027838647,342.6544291,1.541406042,1.85156528,CAT_36,0.485485485,35403.63871,120.3925855,0.099301053,494.4408628
